11:39:25.221 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:39:25.946 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Started TransferMoneyApplication in 2.01 seconds (process running for 2.959)
11:41:51.270 [http-nio-5500-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:41:51.478 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.controllers.TransferController - POST: /transfer -> cardFromNumber: 1111111111111111, cardToNumber: 2222222222222222
11:41:51.481 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.services.TransferServices - Верификаия карты пройдена, id операции: 3
11:41:51.523 [http-nio-5500-exec-4] INFO  ru.andmosc.transferMoney.controllers.TransferController - POST: /confirmOperation
11:42:12.251 [http-nio-5500-exec-4] INFO  ru.andmosc.transferMoney.services.TransferServices - Списание с карты: 1111111111111111, Карта зачисления: 2222222222222222, Сумма: 1000 RUR, номер транзакции: 3
11:45:08.374 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Starting TransferMoneyApplication using Java 17.0.5 with PID 10956 (D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney\target\classes started by and in D:\dev\Maven\netology\16_Курсовой проект(перевод денег)\TransferMoney)
11:45:08.381 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - No active profile set, falling back to 1 default profile: "default"
11:45:09.038 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
11:45:09.039 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
11:45:09.110 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:45:09.402 [main] INFO  ru.andmosc.transferMoney.TransferMoneyApplication - Started TransferMoneyApplication in 1.408 seconds (process running for 2.028)
11:45:21.574 [http-nio-5500-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:45:21.665 [http-nio-5500-exec-1] INFO  ru.andmosc.transferMoney.controllers.TransferController - POST: /transfer -> cardFromNumber: 1111111111111111, cardToNumber: 2222222222222222
11:45:21.665 [http-nio-5500-exec-1] INFO  ru.andmosc.transferMoney.services.TransferServices - Верификаия карты пройдена, id операции: 4
11:45:21.688 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.controllers.TransferController - POST: /confirmOperation
11:45:21.689 [http-nio-5500-exec-2] INFO  ru.andmosc.transferMoney.services.TransferServices - Списание с карты: 1111111111111111, Карта зачисления: 2222222222222222, Сумма: 1000 RUR, номер транзакции: 4
